såg;såg;normal;såg;såg;148
sågarna;sågarna;form;såg;såg;148
sågens;sågens;form;såg;såg;148
sågars;sågars;form;såg;såg;148
sågarnas;sågarnas;form;såg;såg;148
verkligen;verkligen;normal;verkligen;verkligen;150
titta;titta;normal;titta;titta;151
tittas;tittas;form;titta;titta;151
tittades;tittades;form;titta;titta;151
tittats;tittats;form;titta;titta;151
utan;utan;normal;utan;utan;153
tre;tre;normal;tre;tre;155
visst;visst;normal;visst;visst;156
prata;prata;normal;prata;prata;157
pratad;pratad;form;prata;prata;157
vår;vår;normal;vår;vår;158
sätt;sätt;normal;sätt;sätt;161
sättets;sättets;form;sätt;sätt;161
sättens;sättens;form;sätt;sätt;161
tog;tog;normal;tog;tog;162
älskar;älskar;normal;älskar;älskar;163
tid;tid;normal;tid;tid;167
tycker;tycker;normal;tycker;tycker;168
sluta;sluta;normal;sluta;sluta;169
slutande;slutande;form;sluta;sluta;169
slutes;slutes;form;sluta;sluta;169
slöts;slöts;form;sluta;sluta;169
trodde;trodde;normal;trodde;trodde;170
precis;precis;normal;precis;precis;171
säg;säg;normal;säg;säg;172
sin;sin;normal;sin;sin;179
tänker;tänker;normal;tänker;tänker;180
veta;veta;normal;veta;veta;182
många;många;normal;många;många;185
under;under;normal;under;under;192
undrets;undrets;form;under;under;192
visste;visste;normal;visste;visste;194
sett;sett;normal;sett;sett;195
pengar;pengar;normal;pengar;pengar;199
snälla;snälla;normal;snälla;snälla;202
ursäkta;ursäkta;normal;ursäkta;ursäkta;204
ursäktades;ursäktades;form;ursäkta;ursäkta;204
ursäktats;ursäktats;form;ursäkta;ursäkta;204
vart;vart;normal;vart;vart;208
stanna;stanna;normal;stanna;stanna;211
stannas;stannas;form;stanna;stanna;211
stannades;stannades;form;stanna;stanna;211
stannats;stannats;form;stanna;stanna;211
vilken;vilken;normal;vilken;vilken;213
står;står;normal;står;står;214
saker;saker;normal;saker;saker;215
åh;åh;normal;åh;åh;221
ur;ur;normal;ur;ur;223
urets;urets;form;ur;ur;223
urens;urens;form;ur;ur;223
sak;sak;normal;sak;sak;224
problem;problem;normal;problem;problem;226
problemens;problemens;form;problem;problem;226
morgon;morgon;normal;morgon;morgon;227
morgons;morgons;form;morgon;morgon;227
morgnars;morgnars;form;morgon;morgon;227
morgnarnas;morgnarnas;form;morgon;morgon;227
vän;vän;normal;vän;vän;230
vänast;vänast;form;vän;vän;230
väne;väne;form;vän;vän;230
vänaste;vänaste;form;vän;vän;230
våra;våra;normal;våra;våra;231
väg;väg;normal;väg;väg;232
vägars;vägars;form;väg;väg;232
mår;mår;normal;mår;mår;236
samma;samma;normal;samma;samma;237
vägen;vägen;normal;vägen;vägen;238
namn;namn;normal;namn;namn;239
namnets;namnets;form;namn;namn;239
namnens;namnens;form;namn;namn;239
ute;ute;normal;ute;ute;242
väldigt;väldigt;normal;väldigt;väldigt;247
snart;snart;normal;snart;snart;248
sitt;sitt;normal;sitt;sitt;250
sedan;sedan;normal;sedan;sedan;251
sedanen;sedanen;form;sedan;sedan;251
sedaner;sedaner;form;sedan;sedan;251
sedanerna;sedanerna;form;sedan;sedan;251
sedanens;sedanens;form;sedan;sedan;251
sedaners;sedaners;form;sedan;sedan;251
sedanernas;sedanernas;form;sedan;sedan;251
redan;redan;normal;redan;redan;252
pratar;pratar;normal;pratar;pratar;255
tiden;tiden;normal;tiden;tiden;259
tro;tro;normal;tro;tro;260
visa;visa;normal;visa;visa;262
visorna;visorna;form;visa;visa;262
visans;visans;form;visa;visa;262
visors;visors;form;visa;visa;262
visornas;visornas;form;visa;visa;262
visande;visande;form;visa;visa;262
slut;slut;normal;slut;slut;264
slutets;slutets;form;slut;slut;264
slutens;slutens;form;slut;slut;264
skit;skit;normal;skit;skit;265
stor;stor;normal;stor;stor;268
varje;varje;normal;varje;varje;269
träffa;träffa;normal;träffa;träffa;271
säkert;säkert;normal;säkert;säkert;276
åka;åka;normal;åka;åka;277
rädd;rädd;normal;rädd;rädd;278
räddaste;räddaste;form;rädd;rädd;278
säker;säker;normal;säker;säker;283
säkre;säkre;form;säker;säker;283
tänkte;tänkte;normal;tänkte;tänkte;287
nästa;nästa;normal;nästa;nästa;293
nästans;nästans;form;nästa;nästa;293
nästar;nästar;form;nästa;nästa;293
nästade;nästade;form;nästa;nästa;293
nästades;nästades;form;nästa;nästa;293
nästat;nästat;form;nästa;nästa;293
nästats;nästats;form;nästa;nästa;293
nästande;nästande;form;nästa;nästa;293
nästad;nästad;form;nästa;nästa;293
sex;sex;normal;sex;sex;294
ses;ses;normal;ses;ses;295
son;son;normal;son;son;296
sönernas;sönernas;form;son;son;296
verkar;verkar;normal;verkar;verkar;297
vänner;vänner;normal;vänner;vänner;300
sista;sista;normal;sista;sista;301
tala;tala;normal;tala;tala;304
tag;tag;normal;tag;tag;305
tagets;tagets;form;tag;tag;305
tagens;tagens;form;tag;tag;305
riktigt;riktigt;normal;riktigt;riktigt;307
sant;sant;normal;sant;sant;309
sina;sina;normal;sina;sina;312
män;män;normal;män;män;313
vilket;vilket;normal;vilket;vilket;316
väntar;väntar;normal;väntar;väntar;318
världen;världen;normal;världen;världen;319
minuter;minuter;normal;minuter;minuter;320
nya;nya;normal;nya;nya;321
älskling;älskling;normal;älskling;älskling;322
älsklingens;älsklingens;form;älskling;älskling;322
älsklingars;älsklingars;form;älskling;älskling;322
älsklingarnas;älsklingarnas;form;älskling;älskling;322
människor;människor;normal;människor;människor;323
tills;tills;normal;tills;tills;327
åker;åker;normal;åker;åker;331
åkers;åkers;form;åker;åker;331
åkerns;åkerns;form;åker;åker;331
åkrars;åkrars;form;åker;åker;331
åkrarnas;åkrarnas;form;åker;åker;331
runt;runt;normal;runt;runt;339
sagt;sagt;normal;sagt;sagt;341
rör;rör;normal;rör;rör;342
rörets;rörets;form;rör;rör;342
rörens;rörens;form;rör;rör;342
stora;stora;normal;stora;stora;343
vårt;vårt;normal;vårt;vårt;344
minns;minns;normal;minns;minns;345
tänk;tänk;normal;tänk;tänk;346
öppna;öppna;normal;öppna;öppna;350
även;även;normal;även;även;351
polisen;polisen;normal;polisen;polisen;352
ok;ok;normal;ok;ok;354
oks;oks;form;ok;ok;354
okets;okets;form;ok;ok;354
okens;okens;form;ok;ok;354
tur;tur;normal;tur;tur;355
turs;turs;form;tur;tur;355
turers;turers;form;tur;tur;355
turernas;turernas;form;tur;tur;355
spelar;spelar;normal;spelar;spelar;360
ändå;ändå;normal;ändå;ändå;362
släpp;släpp;normal;släpp;släpp;365
sånt;sånt;normal;sånt;sånt;367
nästan;nästan;normal;nästan;nästan;370
natt;natt;normal;natt;natt;372
nätternas;nätternas;form;natt;natt;372
slå;slå;normal;slå;slå;374
slån;slån;form;slå;slå;374
slåar;slåar;form;slå;slå;374
slåarna;slåarna;form;slå;slå;374
slåns;slåns;form;slå;slå;374
slåars;slåars;form;slå;slå;374
slåarnas;slåarnas;form;slå;slå;374
ny;ny;normal;ny;ny;376
nyast;nyast;form;ny;ny;376
pengarna;pengarna;normal;pengarna;pengarna;377
senare;senare;normal;senare;senare;378
spela;spela;normal;spela;spela;385
tillsammans;tillsammans;normal;tillsammans;tillsammans;389
plats;plats;normal;plats;plats;394
platsens;platsens;form;plats;plats;394
platsers;platsers;form;plats;plats;394
platsernas;platsernas;form;plats;plats;394
vilja;vilja;normal;vilja;vilja;395
viljorna;viljorna;form;vilja;vilja;395
viljors;viljors;form;vilja;vilja;395
viljornas;viljornas;form;vilja;vilja;395
trevligt;trevligt;normal;trevligt;trevligt;396
ringer;ringer;normal;ringer;ringer;397
redo;redo;normal;redo;redo;402
vilka;vilka;normal;vilka;vilka;404
tio;tio;normal;tio;tio;406
sitter;sitter;normal;sitter;sitter;407
äta;äta;normal;äta;äta;413
ätes;ätes;form;äta;äta;413
stan;stan;normal;stan;stan;414
tyst;tyst;normal;tyst;tyst;417
tystast;tystast;form;tyst;tyst;417
rum;rum;normal;rum;rum;423
rummens;rummens;form;rum;rum;423
tänka;tänka;normal;tänka;tänka;424
tänks;tänks;form;tänka;tänka;424
tänkes;tänkes;form;tänka;tänka;424
tänkts;tänkts;form;tänka;tänka;424
nära;nära;normal;nära;nära;428
näre;näre;form;nära;nära;428
näras;näras;form;nära;nära;428
närs;närs;form;nära;nära;428
näres;näres;form;nära;nära;428
närdes;närdes;form;nära;nära;428
närts;närts;form;nära;nära;428
vore;vore;normal;vore;vore;430
par;par;normal;par;par;432
parens;parens;form;par;par;432
svårt;svårt;normal;svårt;svårt;434
ord;ord;normal;ord;ord;435
ännu;ännu;normal;ännu;ännu;438
mor;mor;normal;mor;mor;450
mödrarnas;mödrarnas;form;mor;mor;450
rädda;rädda;normal;rädda;rädda;451
räddas;räddas;form;rädda;rädda;451
räddades;räddades;form;rädda;rädda;451
räddat;räddat;form;rädda;rädda;451
räddande;räddande;form;rädda;rädda;451
räddad;räddad;form;rädda;rädda;451
oroa;oroa;normal;oroa;oroa;454
oroats;oroats;form;oroa;oroa;454
timmar;timmar;normal;timmar;timmar;457
ringa;ringa;normal;ringa;ringa;459
ringast;ringast;form;ringa;ringa;459
ringes;ringes;form;ringa;ringa;459
ringd;ringd;form;ringa;ringa;459
mellan;mellan;normal;mellan;mellan;461
sån;sån;normal;sån;sån;463
skynda;skynda;normal;skynda;skynda;464
skyndas;skyndas;form;skynda;skynda;464
skyndades;skyndades;form;skynda;skynda;464
skyndats;skyndats;form;skynda;skynda;464
skyndande;skyndande;form;skynda;skynda;464
skyndad;skyndad;form;skynda;skynda;464
mat;mat;normal;mat;mat;468
stannar;stannar;normal;stannar;stannar;470
vapen;vapen;normal;vapen;vapen;472
stå;stå;normal;stå;stå;475
varandra;varandra;normal;varandra;varandra;480
ring;ring;normal;ring;ring;485
ringars;ringars;form;ring;ring;485
skall;skall;normal;skall;skall;486
skalls;skalls;form;skall;skall;486
skallets;skallets;form;skall;skall;486
uppe;uppe;normal;uppe;uppe;488
någonting;någonting;normal;någonting;någonting;491
skull;skull;normal;skull;skull;494
räcker;räcker;normal;räcker;räcker;495
stället;stället;normal;stället;stället;496
talar;talar;normal;talar;talar;498
syster;syster;normal;syster;syster;502
sätta;sätta;normal;sätta;sätta;504
sättes;sättes;form;sätta;sätta;504
reda;reda;normal;reda;reda;505
redans;redans;form;reda;reda;505
redes;redes;form;reda;reda;505
reddes;reddes;form;reda;reda;505
retts;retts;form;reda;reda;505
redande;redande;form;reda;reda;505
skolan;skolan;normal;skolan;skolan;506
nere;nere;normal;nere;nere;507
miss;miss;normal;miss;miss;509
missarna;missarna;form;miss;miss;509
missens;missens;form;miss;miss;509
missars;missars;form;miss;miss;509
missarnas;missarnas;form;miss;miss;509
vatten;vatten;normal;vatten;vatten;512
roligt;roligt;normal;roligt;roligt;517
vacker;vacker;normal;vacker;vacker;518
tagit;tagit;normal;tagit;tagit;523
stort;stort;normal;stort;stort;530
s;s;normal;s;s;535
ringde;ringde;normal;ringde;ringde;539
skicka;skicka;normal;skicka;skicka;542
skickats;skickats;form;skicka;skicka;542
skickande;skickande;form;skicka;skicka;542
undan;undan;normal;undan;undan;543
the;the;normal;the;the;544
perfekt;perfekt;normal;perfekt;perfekt;545
stoppa;stoppa;normal;stoppa;stoppa;546
stoppas;stoppas;form;stoppa;stoppa;546
stoppade;stoppade;form;stoppa;stoppa;546
stoppades;stoppades;form;stoppa;stoppa;546
stoppat;stoppat;form;stoppa;stoppa;546
stoppats;stoppats;form;stoppa;stoppa;546
stoppande;stoppande;form;stoppa;stoppa;546
stoppad;stoppad;form;stoppa;stoppa;546
plan;plan;normal;plan;plan;547
planare;planare;form;plan;plan;547
planast;planast;form;plan;plan;547
planaste;planaste;form;plan;plan;547
planers;planers;form;plan;plan;547
planernas;planernas;form;plan;plan;547
nummer;nummer;normal;nummer;nummer;552
numrens;numrens;form;nummer;nummer;552
utanför;utanför;normal;utanför;utanför;553
önskar;önskar;normal;önskar;önskar;554
ont;ont;normal;ont;ont;556
snäll;snäll;normal;snäll;snäll;557
snällt;snällt;form;snäll;snäll;557
snälle;snälle;form;snäll;snäll;557
snällaste;snällaste;form;snäll;snäll;557
nytt;nytt;normal;nytt;nytt;558
stämmer;stämmer;normal;stämmer;stämmer;560
självklart;självklart;normal;självklart;självklart;562
stick;stick;normal;stick;stick;563
stickets;stickets;form;stick;stick;563
stickens;stickens;form;stick;stick;563
mest;mest;normal;mest;mest;568
natten;natten;normal;natten;natten;569
sidan;sidan;normal;sidan;sidan;570
månader;månader;normal;månader;månader;573
sent;sent;normal;sent;sent;574
någonsin;någonsin;normal;någonsin;någonsin;577
tom;tom;normal;tom;tom;580
tommast;tommast;form;tom;tom;580
tomme;tomme;form;tom;tom;580
tommaste;tommaste;form;tom;tom;580
tomen;tomen;form;tom;tom;580
tomer;tomer;form;tom;tom;580
tomerna;tomerna;form;tom;tom;580
toms;toms;form;tom;tom;580
tomens;tomens;form;tom;tom;580
tomers;tomers;form;tom;tom;580
tomernas;tomernas;form;tom;tom;580
sätter;sätter;normal;sätter;sätter;581
slår;slår;normal;slår;slår;582
ställe;ställe;normal;ställe;ställe;583
ställens;ställens;form;ställe;ställe;583
ställenas;ställenas;form;ställe;ställe;583
snabbt;snabbt;normal;snabbt;snabbt;584
vadå;vadå;normal;vadå;vadå;585
saken;saken;normal;saken;saken;586
skriva;skriva;normal;skriva;skriva;588
skrives;skrives;form;skriva;skriva;588
nå;nå;normal;nå;nå;589
nående;nående;form;nå;nå;589
pojke;pojke;normal;pojke;pojke;594
sanningen;sanningen;normal;sanningen;sanningen;596
tittar;tittar;normal;tittar;tittar;597
tjej;tjej;normal;tjej;tjej;598
sova;sova;normal;sova;sova;599
sovas;sovas;form;sova;sova;599
sovs;sovs;form;sova;sova;599
soves;soves;form;sova;sova;599
sovits;sovits;form;sova;sova;599
sticker;sticker;normal;sticker;sticker;600
äter;äter;normal;äter;äter;601
sköt;sköt;normal;sköt;sköt;604
sköten;sköten;form;sköt;sköt;604
skötar;skötar;form;sköt;sköt;604
skötens;skötens;form;sköt;sköt;604
skötars;skötars;form;sköt;sköt;604
skötarnas;skötarnas;form;sköt;sköt;604
roll;roll;normal;roll;roll;605
rollens;rollens;form;roll;roll;605
rollernas;rollernas;form;roll;roll;605
ögon;ögon;normal;ögon;ögon;606
vecka;vecka;normal;vecka;vecka;608
veckornas;veckornas;form;vecka;vecka;608
veckar;veckar;form;vecka;vecka;608
veckade;veckade;form;vecka;vecka;608
veckades;veckades;form;vecka;vecka;608
veckat;veckat;form;vecka;vecka;608
veckats;veckats;form;vecka;vecka;608
veckande;veckande;form;vecka;vecka;608
veckad;veckad;form;vecka;vecka;608
viktigt;viktigt;normal;viktigt;viktigt;609
tyckte;tyckte;normal;tyckte;tyckte;614
tänkt;tänkt;normal;tänkt;tänkt;617
välkommen;välkommen;normal;välkommen;välkommen;618
välkomne;välkomne;form;välkommen;välkommen;618
resten;resten;normal;resten;resten;619
skjuta;skjuta;normal;skjuta;skjuta;620
skjutes;skjutes;form;skjuta;skjuta;620
veckor;veckor;normal;veckor;veckor;625
vidare;vidare;normal;vidare;vidare;626
sju;sju;normal;sju;sju;628
undrar;undrar;normal;undrar;undrar;633
sitta;sitta;normal;sitta;sitta;635
sittas;sittas;form;sitta;sitta;635
sitts;sitts;form;sitta;sitta;635
sittes;sittes;form;sitta;sitta;635
suttits;suttits;form;sitta;sitta;635
sutten;sutten;form;sitta;sitta;635
satt;satt;normal;satt;satt;636
sida;sida;normal;sida;sida;637
sidornas;sidornas;form;sida;sida;637
sidar;sidar;form;sida;sida;637
sidade;sidade;form;sida;sida;637
sidades;sidades;form;sida;sida;637
sidat;sidat;form;sida;sida;637
sidats;sidats;form;sida;sida;637
sidande;sidande;form;sida;sida;637
sidad;sidad;form;sida;sida;637
medan;medan;normal;medan;medan;638
trött;trött;normal;trött;trött;640
svara;svara;normal;svara;svara;641
svarades;svarades;form;svara;svara;641
svarats;svarats;form;svara;svara;641
svarad;svarad;form;svara;svara;641
order;order;normal;order;order;642
orderns;orderns;form;order;order;642
ordernas;ordernas;form;order;order;642
älskade;älskade;normal;älskade;älskade;643
små;små;normal;små;små;648
val;val;normal;val;val;652
valars;valars;form;val;val;652
träffas;träffas;normal;träffas;träffas;654
ursäkt;ursäkt;normal;ursäkt;ursäkt;656
ursäkts;ursäkts;form;ursäkt;ursäkt;656
ursäktens;ursäktens;form;ursäkt;ursäkt;656
ursäkters;ursäkters;form;ursäkt;ursäkt;656
ursäkternas;ursäkternas;form;ursäkt;ursäkt;656
tidigare;tidigare;normal;tidigare;tidigare;657
tv;tv;normal;tv;tv;658
tv:n;tv:n;form;tv;tv;658
tv:ar;tv:ar;form;tv;tv;658
tv:arna;tv:arna;form;tv;tv;658
tv:s;tv:s;form;tv;tv;658
tv:ns;tv:ns;form;tv;tv;658
tv:ars;tv:ars;form;tv;tv;658
tv:arnas;tv:arnas;form;tv;tv;658
massa;massa;normal;massa;massa;659
massors;massors;form;massa;massa;659
pratade;pratade;normal;pratade;pratade;660
visar;visar;normal;visar;visar;662
vissa;vissa;normal;vissa;vissa;663
typ;typ;normal;typ;typ;664
typs;typs;form;typ;typ;664
typens;typens;form;typ;typ;664
typers;typers;form;typ;typ;664
typernas;typernas;form;typ;typ;664
miljoner;miljoner;normal;miljoner;miljoner;666
t;t;normal;t;t;667
t:et;t:et;form;t;t;667
t:n;t:n;form;t;t;667
t:na;t:na;form;t;t;667
ts;ts;form;t;t;667
t:ets;t:ets;form;t;t;667
t:ns;t:ns;form;t;t;667
t:nas;t:nas;form;t;t;667
tyvärr;tyvärr;normal;tyvärr;tyvärr;670
skyldig;skyldig;normal;skyldig;skyldig;671
skyldigare;skyldigare;form;skyldig;skyldig;671
skyldigast;skyldigast;form;skyldig;skyldig;671
skyldigaste;skyldigaste;form;skyldig;skyldig;671
tillräckligt;tillräckligt;normal;tillräckligt;tillräckligt;672
spring;spring;normal;spring;spring;674
springet;springet;form;spring;spring;674
springets;springets;form;spring;spring;674
själva;själva;normal;själva;själva;676
skjut;skjut;normal;skjut;skjut;677
otroligt;otroligt;normal;otroligt;otroligt;679
slog;slog;normal;slog;slog;681
sam;sam;normal;sam;sam;682
mindre;mindre;normal;mindre;mindre;683
varsågod;varsågod;normal;varsågod;varsågod;686
riktig;riktig;normal;riktig;riktig;687
riktigare;riktigare;form;riktig;riktig;687
riktigast;riktigast;form;riktig;riktig;687
riktige;riktige;form;riktig;riktig;687
riktigaste;riktigaste;form;riktig;riktig;687
synd;synd;normal;synd;synd;690
synds;synds;form;synd;synd;690
ögonblick;ögonblick;normal;ögonblick;ögonblick;692
ögonblickens;ögonblickens;form;ögonblick;ögonblick;692
o;o;normal;o;o;694
slåss;slåss;normal;slåss;slåss;695
åtta;åtta;normal;åtta;åtta;696
åttas;åttas;form;åtta;åtta;696
åttors;åttors;form;åtta;åtta;696
åttornas;åttornas;form;åtta;åtta;696
misstag;misstag;normal;misstag;misstag;698
misstags;misstags;form;misstag;misstag;698
misstagets;misstagets;form;misstag;misstag;698
misstagens;misstagens;form;misstag;misstag;698
toppen;toppen;normal;toppen;toppen;700
sjuk;sjuk;normal;sjuk;sjuk;703
sjukast;sjukast;form;sjuk;sjuk;703
tjänst;tjänst;normal;tjänst;tjänst;706
tjänsts;tjänsts;form;tjänst;tjänst;706
tjänsters;tjänsters;form;tjänst;tjänst;706
tjänsternas;tjänsternas;form;tjänst;tjänst;706
stund;stund;normal;stund;stund;709
middag;middag;normal;middag;middag;712
middagens;middagens;form;middag;middag;712
middagars;middagars;form;middag;middag;712
middagarnas;middagarnas;form;middag;middag;712
strax;strax;normal;strax;strax;713
sägs;sägs;normal;sägs;sägs;714
resa;resa;normal;resa;resa;718
resors;resors;form;resa;resa;718
